# QGIS Generated Color Map Export File
INTERPOLATION:INTERPOLATED
0,9,195,219,255,0
60,86,162,21,255,60
120,98,169,26,255,120
180,110,175,32,255,180
240,122,181,38,255,240
300,134,188,44,255,300
360,146,194,50,255,360
420,159,200,56,255,420
480,171,206,62,255,480
540,183,213,68,255,540
600,195,219,74,255,600
660,207,225,80,255,660
720,219,232,86,255,720
780,231,238,92,255,780
840,243,244,98,255,840
900,255,250,104,255,900
960,255,247,101,255,960
1020,255,244,98,255,1020
1080,255,241,95,255,1080
1140,255,238,92,255,1140
1200,255,235,89,255,1200
1260,255,231,86,255,1260
1320,255,228,83,255,1320
1380,255,225,80,255,1380
1440,255,222,77,255,1440
1500,255,219,74,255,1500
1560,255,216,72,255,1560
1620,255,212,69,255,1620
1680,255,209,66,255,1680
1740,255,206,63,255,1740
1800,255,203,60,255,1800
1860,255,200,57,255,1860
1920,255,197,54,255,1920
1980,255,193,51,255,1980
2040,255,190,48,255,2040
2100,255,187,45,255,2100
2160,255,184,42,255,2160
2220,255,181,39,255,2220
2280,254,178,38,255,2280
2340,251,176,37,255,2340
2400,248,174,37,255,2400
2460,245,172,37,255,2460
2520,242,170,37,255,2520
2580,239,168,36,255,2580
2640,237,165,36,255,2640
2700,234,163,36,255,2700
2760,231,161,36,255,2760
2820,228,159,36,255,2820
2880,225,157,35,255,2880
2940,222,155,35,255,2940
3000,219,153,35,255,3000
3060,216,151,35,255,3060
3120,213,149,35,255,3120
3180,210,146,34,255,3180
3240,207,144,34,255,3240
3300,204,142,34,255,3300
3360,202,140,34,255,3360
3420,199,138,33,255,3420
3480,196,136,33,255,3480
3540,193,134,33,255,3540
3600,190,132,33,255,3600
3660,187,130,33,255,3660
3720,184,127,32,255,3720
3780,181,125,32,255,3780
3840,178,123,32,255,3840
3900,175,121,32,255,3900
3960,172,119,32,255,3960
4020,169,117,31,255,4020
4080,166,115,31,255,4080
4140,164,113,31,255,4140
4200,161,110,31,255,4200
4260,158,108,30,255,4260
4320,155,106,30,255,4320
4380,152,104,30,255,4380
4440,149,102,30,255,4440
4500,146,100,30,255,4500
4560,148,102,33,255,4560
4620,149,104,36,255,4620
4680,150,106,39,255,4680
4740,152,108,42,255,4740
4800,153,110,45,255,4800
4860,155,112,48,255,4860
4920,156,114,51,255,4920
4980,158,116,54,255,4980
5040,159,119,57,255,5040
5100,161,121,60,255,5100
5160,162,123,63,255,5160
5220,164,125,66,255,5220
5280,165,127,69,255,5280
5340,166,129,72,255,5340
5400,168,131,75,255,5400
5460,169,133,78,255,5460
5520,171,135,81,255,5520
5580,172,137,84,255,5580
5640,174,139,87,255,5640
5700,175,141,90,255,5700
5760,177,143,93,255,5760
5820,178,146,96,255,5820
5880,180,148,99,255,5880
5940,181,150,102,255,5940
6000,183,152,105,255,6000
6060,184,154,108,255,6060
6120,185,156,111,255,6120
6180,187,158,114,255,6180
6240,188,160,117,255,6240
6300,190,162,120,255,6300
6360,191,164,123,255,6360
6420,193,166,126,255,6420
6480,194,168,129,255,6480
6540,196,170,132,255,6540
6600,197,173,135,255,6600
6660,199,175,138,255,6660
6720,200,177,141,255,6720
6780,202,179,144,255,6780
6840,203,181,147,255,6840
6900,204,183,150,255,6900
6960,206,185,153,255,6960
7020,207,187,156,255,7020
7080,209,189,159,255,7080
7140,210,191,162,255,7140
7200,212,193,165,255,7200
7260,213,195,168,255,7260
7320,215,197,171,255,7320
7380,216,199,174,255,7380
7440,218,202,177,255,7440
7500,219,204,180,255,7500
7560,220,206,183,255,7560
7620,222,208,186,255,7620
7680,223,210,189,255,7680
7740,225,212,192,255,7740
7800,226,214,195,255,7800
7860,228,216,198,255,7860
7920,229,218,201,255,7920
7980,231,220,204,255,7980
8040,232,222,207,255,8040
8100,234,224,210,255,8100
8160,235,226,213,255,8160
8220,237,229,216,255,8220
8280,238,231,219,255,8280
8340,239,233,222,255,8340
8400,241,235,225,255,8400
8460,242,237,228,255,8460
8520,244,239,231,255,8520
8580,245,241,234,255,8580
8640,247,243,237,255,8640
8700,248,245,240,255,8700
8760,250,247,243,255,8760
8820,251,249,246,255,8820
8880,253,251,249,255,8880
8940,254,253,252,255,8940
9000,255,255,255,255,9000
